Preserving the environnment is;Do scientific discoveries make life better ;Judicature;Do French society need to change;Sex;Level of education;Socio occupational category;Age
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;middle school;skilled manual worker;51
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;specialized worker;34
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no opinion;female;primary school;service personnel;64
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;no;male;bachelor;undisclosed;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;university;undisclosed;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very good;no;female;bachelor;undisclosed;73
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;bachelor;senior manager;26
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;middle school;other unskilled employee;32
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;commerce worker;54
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;none;employer in industry and commerce;69
preserving env. is vey important;scientific discoveries make life much better;judiciary is very good;no;female;bachelor;middle manager;66
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;specialized worker;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;other skilled employee;27
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;none;craftsman;58
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;bachelor;senior manager;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;middle manager;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;middle manager;31
preserving env. is low;scientific discoveries do not make life better;judiciary is very bad;yes;male;none;service personnel;55
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;primary school;other unskilled employee;73
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;university;other skilled employee;28
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;bachelor;farmer;45
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;specialized worker;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;none;skilled manual worker;57
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;39
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;undisclosed;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;male;primary school;other unskilled employee;65
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;middle school;other skilled employee;30
preserving env. is quite important;scientific discoveries do not make life better;judiciary: no opinion;no;male;none;specialized worker;75
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;middle manager;50
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no opinion;female;primary school;other unskilled employee;58
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;other unskilled employee;58
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;middle manager;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;high school;senior manager;66
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;other unskilled employee;71
preserving env. is low;scientific discoveries do not make life better;judiciary is pretty good;no;male;primary school;service personnel;67
preserving env. is low;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;primary school;service personnel;47
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;commerce worker;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;senior manager;35
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;middle manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;bachelor;undisclosed;52
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;specialized worker;35
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;other skilled employee;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;27
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;skilled manual worker;43
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;male;none;skilled manual worker;44
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;specialized worker;64
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;specialized worker;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;other unskilled employee;29
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;female;bachelor;undisclosed;18
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;undisclosed;72
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;undisclosed;67
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;undisclosed;70
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;undisclosed;51
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;none;specialized worker;70
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;74
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;middle school;commerce worker;64
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;commerce worker;57
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;other unskilled employee;35
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;university;undisclosed;21
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;female;middle school;service personnel;22
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;middle manager;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;middle manager;30
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;female;bachelor;middle manager;51
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;middle manager;72
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;undisclosed;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;middle school;other unskilled employee;22
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;middle school;other unskilled employee;30
preserving env. is low;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;tradesman;83
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;skilled manual worker;18
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;29
preserving env. is low;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;specialized worker;22
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;specialized worker;37
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;bachelor;undisclosed;48
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;senior manager;49
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;other skilled employee;46
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty good;no opinion;female;none;commerce worker;66
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;undisclosed;22
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;female;none;undisclosed;20
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;female;bachelor;undisclosed;19
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;undisclosed;27
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;service personnel;41
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty good;yes;male;none;skilled manual worker;67
preserving env. is low;scientific discoveries make life much better;judiciary: no opinion;no opinion;female;none;undisclosed;60
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;bachelor;undisclosed;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;middle manager;28
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;primary school;middle manager;76
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;commerce worker;67
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;senior manager;79
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;specialized worker;67
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;primary school;tradesman;65
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;other skilled employee;73
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;other active worker;44
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;male;middle school;craftsman;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;tradesman;28
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;university;senior manager;37
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;middle manager;35
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;middle school;middle manager;54
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;middle school;middle manager;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;other unskilled employee;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;specialized worker;36
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;23
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;foreman;33
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;18
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;bachelor;service personnel;37
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;primary school;undisclosed;75
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;bachelor;undisclosed;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;primary school;other unskilled employee;29
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;other unskilled employee;38
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;senior manager;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;middle school;other unskilled employee;70
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;tradesman;84
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;senior manager;40
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;service personnel;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;tradesman;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;none;senior manager;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;middle manager;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;none;other skilled employee;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;55
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;none;foreman;50
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;middle school;service personnel;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;other skilled employee;68
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;high school;middle manager;68
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;university;liberal profession;43
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;none;other unskilled employee;38
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;no;female;none;service personnel;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;service personnel;75
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;other skilled employee;20
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;unskilled worker;21
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;specialized worker;44
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;specialized worker;21
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;primary school;skilled manual worker;38
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;service personnel;32
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;service personnel;51
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;service personnel;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;59
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;skilled manual worker;29
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;69
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;tradesman;42
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;no;male;university;senior manager;45
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no opinion;male;primary school;middle manager;33
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;middle manager;36
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;university;other unskilled employee;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;senior manager;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;specialized worker;55
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;yes;female;middle school;specialized worker;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;none;skilled manual worker;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;specialized worker;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;skilled manual worker;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;skilled manual worker;51
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;skilled manual worker;41
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;service personnel;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;19
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;bachelor;undisclosed;20
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;service personnel;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;female;university;senior manager;39
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;bachelor;middle manager;43
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;no;female;middle school;tradesman;58
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;university;foreman;80
preserving env. is low;scientific discoveries make life much better;judiciary is very good;yes;male;none;other unskilled employee;78
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;female;high school;middle manager;90
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;senior manager;67
preserving env. is low;scientific discoveries make life much better;judiciary is pretty good;no;male;primary school;skilled manual worker;63
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;employer in industry and commerce;65
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;tradesman;35
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;senior manager;41
